Date,Downloads
2025-12-24 04:00,487
2025-12-26 06:39,1258
2026-01-02 10:20,1822
2026-01-09 10:22,2594
2026-01-16 10:22,3021
2026-01-23 10:24,3458
2026-01-30 10:32,3746
2026-02-06 10:28,4112
2026-02-13 10:29,4693
2026-02-20 10:26,4976
2026-02-27 10:26,5206
2026-03-06 10:23,5354
2026-03-13 10:24,5439
2026-03-20 10:27,5440
2026-03-27 10:36,5495
2026-04-03 10:32,5624
2026-04-10 10:42,5805
2026-04-17 10:45,5976
2026-04-24 10:57,6101
2026-05-01 10:59,6243
2026-05-08 11:00,6419
2026-05-15 11:45,6566
2026-05-22 12:11,6690
2026-05-29 12:38,6821
2026-06-05 12:29,6970
2026-06-12 12:47,7188
2026-06-19 13:26,7300
2026-06-26 12:05,7514
2026-07-03 11:58,13685
2026-07-04 02:39,10268
